date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:42:38	4977/4977	---MCZ	200	added ('OK')	text/html	date:Wed,%2028%20Apr%202021%2014:23:41%20GMT	https://colorlib.com/etc/lf/Login_v3/index.html	C:/My%20Web%20Sites/login/colorlib.com/etc/lf/Login_v3/index.html	(from )
21:42:39	154/154	---MCZ	200	added ('OK')	text/plain	etag:W/%2260cb73e4-f6%22	https://colorlib.com/robots.txt		(from )
21:42:39	32038/32038	---MCZ	200	added ('OK')	image/x-icon	etag:W/%2260897005-7d26%22	https://colorlib.com/etc/lf/Login_v3/images/icons/favicon.ico	C:/My%20Web%20Sites/login/colorlib.com/etc/lf/Login_v3/images/icons/favicon.ico	(from https://colorlib.com/etc/lf/Login_v3/index.html)
21:42:39	124962/124962	---MCZ	200	added ('OK')	text/css	etag:W/%2260897009-1e822%22	https://colorlib.com/etc/lf/Login_v3/vendor/bootstrap/css/bootstrap.min.css	C:/My%20Web%20Sites/login/colorlib.com/etc/lf/Login_v3/vendor/bootstrap/css/bootstrap.min.css	(from https://colorlib.com/etc/lf/Login_v3/index.html)
21:42:39	31000/31000	---MCZ	200	added ('OK')	text/css	etag:W/%2260896ff8-7918%22	https://colorlib.com/etc/lf/Login_v3/fonts/font-awesome-4.7.0/css/font-awesome.min.css	C:/My%20Web%20Sites/login/colorlib.com/etc/lf/Login_v3/fonts/font-awesome-4.7.0/css/font-awesome.min.css	(from https://colorlib.com/etc/lf/Login_v3/index.html)
21:42:40	70815/70815	---MCZ	200	added ('OK')	text/css	etag:W/%2260896fff-1149f%22	https://colorlib.com/etc/lf/Login_v3/fonts/iconic/css/material-design-iconic-font.min.css	C:/My%20Web%20Sites/login/colorlib.com/etc/lf/Login_v3/fonts/iconic/css/material-design-iconic-font.min.css	(from https://colorlib.com/etc/lf/Login_v3/index.html)
21:42:40	17502/17502	---MCZ	200	added ('OK')	text/css	etag:W/%2260897006-5d28%22	https://colorlib.com/etc/lf/Login_v3/vendor/animate/animate.css	C:/My%20Web%20Sites/login/colorlib.com/etc/lf/Login_v3/vendor/animate/animate.css	(from https://colorlib.com/etc/lf/Login_v3/index.html)
21:42:40	19686/19686	---MCZ	200	added ('OK')	text/css	etag:W/%226089700b-4ce6%22	https://colorlib.com/etc/lf/Login_v3/vendor/css-hamburgers/hamburgers.min.css	C:/My%20Web%20Sites/login/colorlib.com/etc/lf/Login_v3/vendor/css-hamburgers/hamburgers.min.css	(from https://colorlib.com/etc/lf/Login_v3/index.html)
21:42:40	27478/27478	---MCZ	200	added ('OK')	text/css	etag:W/%2260897007-6b56%22	https://colorlib.com/etc/lf/Login_v3/vendor/animsition/css/animsition.min.css	C:/My%20Web%20Sites/login/colorlib.com/etc/lf/Login_v3/vendor/animsition/css/animsition.min.css	(from https://colorlib.com/etc/lf/Login_v3/index.html)
21:42:40	15196/15196	---MCZ	200	added ('OK')	text/css	etag:W/%226089700e-3b5c%22	https://colorlib.com/etc/lf/Login_v3/vendor/select2/select2.min.css	C:/My%20Web%20Sites/login/colorlib.com/etc/lf/Login_v3/vendor/select2/select2.min.css	(from https://colorlib.com/etc/lf/Login_v3/index.html)
21:42:41	6228/6228	---MCZ	200	added ('OK')	text/css	etag:W/%2260897006-1fe3%22	https://colorlib.com/etc/lf/Login_v3/vendor/daterangepicker/daterangepicker.css	C:/My%20Web%20Sites/login/colorlib.com/etc/lf/Login_v3/vendor/daterangepicker/daterangepicker.css	(from https://colorlib.com/etc/lf/Login_v3/index.html)
21:42:41	70790/70790	---MCZ	200	added ('OK')	text/css	etag:W/%2260896ff4-1531e%22	https://colorlib.com/etc/lf/Login_v3/css/util.css	C:/My%20Web%20Sites/login/colorlib.com/etc/lf/Login_v3/css/util.css	(from https://colorlib.com/etc/lf/Login_v3/index.html)
21:42:41	7420/7420	---MCZ	200	added ('OK')	text/css	etag:W/%2260896ff4-2a0e%22	https://colorlib.com/etc/lf/Login_v3/css/main.css	C:/My%20Web%20Sites/login/colorlib.com/etc/lf/Login_v3/css/main.css	(from https://colorlib.com/etc/lf/Login_v3/index.html)
